idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
2186490,2024-01-01,SLDGJ,"La Soledad, Gto.","La Soledad, Gto.",Guanajuato,Guanajuato,Lerma-Santiago-Pacífico,21.04,-101.279722,AP,R. Santa Ana,Libre,,,2.2500999999999998,2209.149902,2.371000051,2207.75,1.857,,2200.88,0.149,0.080236941303177
2186491,2024-01-01,EPLGJ,"El Palote, Gto.","El Palote, Gto.",Guanajuato,León,Lerma-Santiago-Pacífico,21.173611,-101.678889,AP,R. De Los Gómez,Libre,,,0.9,1838.6,17.161,1836.15,9.643,,1831.71,0.8210000000000001,0.08513947941511901
2186492,2024-01-01,GLNGJ,"La Golondrina, Gto.","La Golondrina,Gto.",Guanajuato,Pénjamo,Lerma-Santiago-Pacífico,20.439167,-101.7425,RI,R. Penjamo,Libre,,,1.58,1837.119995,5.96999979,1835.199951,4.670000076,,1824.8,0.6930000000000001,0.148394001867677
2186493,2024-01-01,MOCMC,"Melchor Ocampo, Mich.","El Rosario, Mich.",Michoacán de Ocampo,Angamacutiro,Lerma-Santiago-Pacífico,20.127222,-101.724444,RI,R. Angúlo,Libre,,,2.08997,1714.410034,249.8430023,1711.900024,194.4539948,,1707.55,111.45,0.5731432780006841
2186494,2024-01-01,AMEMC,"Aristeo Mercado, Mich.","Wilson ,Mich.",Michoacán de Ocampo,Jiménez,Lerma-Santiago-Pacífico,19.926111,-101.661111,RI,A. sin nombre,Libre,,,6.03,1993.8,28.305,1993.5,25.344,,1990.46,4.228,0.166824494949494
2186496,2024-01-01,LANMC,"Los Angeles, Mich.",Tres Mezquites,Michoacán de Ocampo,José Sixto Verduzco,Lerma-Santiago-Pacífico,20.248889,-101.626667,RI,C. El Alto Las Cañas,Libre,,,0.0,1688.45,17.096,1687.95,14.59,,1684.0,0.458,0.031391363947909
2186497,2024-01-01,LDFMC,"Laguna del Fresno, Mich.","Laguna del Fresno, Mich.",Michoacán de Ocampo,Maravatío,Lerma-Santiago-Pacífico,19.838056,-100.406389,RI,R. Cachiví,Libre,,,2.0,2057.0,13.132,2055.98,10.299,,2052.84,2.949,0.286338479464025
2186498,2024-01-01,MABGJ,"Mariano Abasolo, Gto.","San Antonio de Aceves, Gto.",Guanajuato,Pénjamo,Lerma-Santiago-Pacífico,20.507222,-101.931111,RI,A. los Otates,Libre,,,1.92,1753.08,23.946,1751.3,20.079,,1744.39,8.377,0.417202051895014
2186499,2024-01-01,CPAMC,"Copándaro, Mich.","Copándaro de Dolores, Mich.",Michoacán de Ocampo,Jiquilpan,Lerma-Santiago-Pacífico,20.001667,-102.861389,RI,R. La Patera,Libre,,,9.79,1989.209,9.717,1987.659,2.752,,1995.36,0.211,0.076671511627906
2186500,2024-01-01,HRTJL,"Hurtado, Jal.","Valencia, Jal.",Jalisco,Acatlán de Juárez,Lerma-Santiago-Pacífico,20.466944,-103.651111,RI,A. San Antonio,Libre,,,1.34,1462.66,22.624,1462.66,22.624,,1460.99,13.685,0.604888613861386
