clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina
RMEGR,"Revolución Mexicana, Gro.","El Guineo, Gro.",Guerrero,Ayutla de los Libres,Pacífico Sur,16.823611,-99.166111,RI,R. Nexpa,Libre,1984,110.7,3.11,107.5899963,259.502,94.40000153,126.694,70.7
JDMOX,"Presidente Benito Juárez, Oax.","Bordo Benito Juárez, Oax.",Oaxaca,Santa María Jalapa del Marqués,Pacífico Sur,16.445556,-95.397778,RI,R. Tehuantepec,Libre,1961,138.4,2.64999,139.8500061,1726.747,124.25,720.317,85.5
LBQCH,"La Boquilla, Chih.","Lago de Toronto, Chih.",Chihuahua,San Francisco de Conchos,Río Bravo,27.544722,-105.414167,GH/RI,R. Conchos,Libre,1916,1322,2.90002,1319.1,3192.75,1317.0,2846.78,82
SGBDR,"San Gabriel, Dgo.","San Gabriel, Dgo.",Durango,Ocampo,Río Bravo,26.436667,-105.560833,RI,R. Florido,Libre,1991,1785.6,2.20999,1783.390015,377.3380127,1777.900024,245.4309998,48
PAGCH,"Pico del Aguila, Chih.","Pico Del Aguila, Chih.",Chihuahua,Coronado,Río Bravo,26.546389,-105.254167,RI,R. Florido,Libre,1993,1625.9,2.5,1619.0,59.843,1616.900024,48.276,42
FIMCH,"Las Vírgenes, Chih.","Francisco I. Madero, Chih.",Chihuahua,Rosales,Río Bravo,28.166111,-105.628889,RI,R. San Pedro,Libre,1949,1243.8,1.23994,1242.560059,477.6220093,1239.3,333.32,57
LLNCH,"El Granero, Chih.","Ing. Luis L. León, Chih.",Chihuahua,Aldama,Río Bravo,28.984444,-105.28,RI,R. Conchos,Contr,1968,1053,2.5,1050.5,824.76181,1034.8,284.382,62
CHUCH,"Chihuahua, Chih.","Chihuahua, Chih.",Chihuahua,Chihuahua,Río Bravo,28.570556,-106.167778,AP,R.Â Chuviscar,Libre,1960,1546,1.71997,1544.280029,35.63100052,1540.819946,23.38299942,58
ERECH,"El Rejón, Chih.","El Rejón, Chih.",Chihuahua,Chihuahua,Río Bravo,28.614722,-106.119444,AP,A. El Rejón,Libre,1966,1479.8,1.48005,1478.319946,7.7550001139999996,1477.0,6.528,33
PAZCH,"Piedras Azules, Chih.",,Chihuahua,Allende,Río Bravo,27.249167,-105.211111,RI,Río Parral,Libre,,2000,0.0,1998.42,13.194,1996.5,8.712,22
CILAAMSMX,"Internacional La Amistad, Coah.","La Amistad, Coah.",Coahuila de Zaragoza,Acuña,Río Bravo,29.446944,-101.057222,AP/RI,R. Bravo,Contr,1968,351.22,0.0,349.03,2707.437,340.46,1769.66,87.57
CNTCL,"El Centenario, Coah.","El Centenario, Coah.",Coahuila de Zaragoza,Jiménez,Río Bravo,29.213611,-100.95,RI,R. San Diego,Libre,1935,338,1.62,336.3800049,25.711,336.1499939,24.5890007,17
SMGCL,"San Miguel, Coah.","San Miguel, Coah.",Coahuila de Zaragoza,Jiménez,Río Bravo,29.034167,-100.953889,AP/RI,R. San Diego,Libre,1935,343.5,1.54001,341.9599915,22.19300079,341.7399902,21.16799927,15
LFGCL,"La Fragua, Coah.","La Fragua, Coah",Coahuila de Zaragoza,Jiménez,Río Bravo,28.82,-100.832222,RI,R. San Rodrigo,Libre,1993,306.68,2.00001,303.96,85.37999725,300.2999878,47.29499817,24.7
CILAFLCMX,"Internacional Falcón, Tamps.","Falcón, Tamps.",Tamaulipas,Guerrero,Río Bravo,26.560278,-99.170556,AP/RI,R. Bravo,Contr,1953,98.45,0.0,93.482,1607.962,91.81,1351.63,50
NEXPB,"Nexapa, Pue.","Nexapa, Pue.",Puebla,Tlaola,Golfo Centro,20.168333,-97.984722,GH,R. Nexapa,Libre,1912,1364,1.0,1362.35,15.313,1360.0,12.5,44
LLAHD,"La Laguna, Hgo.","Tejocotal, Pue.",Hidalgo,Acaxochitlán,Golfo Centro,20.135556,-98.128333,RI,A. Huitzilin,Libre,1903,2185,1.0,2184.5,49.227,2183.0,40.638,19
LREHD,"Los Reyes, Hgo.","Omiltepec, Pue.",Hidalgo,Acaxochitlán,Golfo Centro,20.174722,-98.131944,RI,R. Omiltepec,Libre,1913,2168.5,1.5,2167.0,29.263,2165.0,24.031,30
SOLPB,"La Soledad, Pue.","La Soledad, Pue.",Puebla,Tlatlauquitepec,Golfo Centro,19.960833,-97.446667,GH,R. Apulco y Xiucayucan,Contr,1962,806.5,1.5,805.0,14.98,804.5,13.9,91.5
PEMVC,"El Moralillo, Ver.",Piedra Labrada,Veracruz de Ignacio de la Llav,Tepetzintla,Golfo Centro,21.184444,-97.814444,AP,Río Buenavista,Libre,,116,0.0,115.94,8.126,110.78,2.5,15.5
TEMOX,"Presidente Alemán, Oax.","Temascal, Oax.",Oaxaca,San Miguel Soyaltepec,Golfo Centro,18.232222,-96.412222,GH,R. Papaloapan,Contr,1955,74.79,3.5,68.5,9105.54,66.5,8119.09,76
CDOOX,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.",Oaxaca,San Lucas Ojitlán,Golfo Centro,17.999167,-96.263611,CA,R. Papaloapan,Contr,1988,75.6,2.8,70.01,3547.16,64.86,2599.51,70
LDCVC,"Canseco, Ver.","Laguna de Catemaco, Ver.",Veracruz de Ignacio de la Llav,Catemaco,Golfo Centro,18.415833,-95.118333,GH,R. Grande,Contr,1960,334.5,1.0,333.5,552.7,332.7,493.02,7.2
LCAVC,"La Cangrejera, Ver.","La Crangrejera, Ver.",Veracruz de Ignacio de la Llav,Coatzacoalcos,Golfo Centro,18.109444,-94.330833,AP,R. Teapa,Libre,1980,23.87,2.22,21.64999962,31.60000038,21.25,28.53700066,15.87
PJMTP,"Pedro José Méndez, Tamps.","Pedro J. Méndez, Tamps.",Tamaulipas,Hidalgo,Golfo Norte,24.2475,-99.555833,RI,R. San Juan,Libre,1982,453,3.60001,449.3999939,38.36000061,447.2200012,31.26000023,55
VGRTP,"Vicente Guerrero, Tamps.","Las Adjuntas, Tamps.",Tamaulipas,Padilla,Golfo Norte,23.959444,-98.666389,AP/RI,R. Soto La Marina,Contr,1967,148,4.12001,144.0399933,5498.22998,140.44,3910.69,62
RSPTP,"República Española, Tamps.","Real Viejo o El Sombrero, Tamps.",Tamaulipas,Aldama,Golfo Norte,23.259444,-97.991944,AP,A. San Pedro,Libre,1974,92,2.57,89.43000031,105.9899979,83.0,54.77999878,30
JLPQT,"Jalpan, Qro.",Jalpan,Querétaro,Jalpan de Serra,Golfo Norte,21.230278,-99.479722,RI/AP,Río Jalpan,Libre,,785,0.0,784.55,11.2,780.55,8.0,41
TIESL,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",San Luis Potosí,Tierra Nueva,Golfo Norte,21.629444,-100.548333,AP,R. Jofre,Libre,1981,1843.75,2.0,1841.75,31.0,1837.699951,24.14,40.25
ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán, Hgo.",Hidalgo,Zimapán,Golfo Norte,20.663333,-99.501111,GH,R. Moctezuma,Contr,1990,1565,2.0,1563.0,1460.0,1560.0,1390.0,203
CHYVC,"Paso de Piedras, Ver.","Chicayán, Ver.",Veracruz de Ignacio de la Llav,Pánuco,Golfo Norte,21.7375,-98.155833,RI,R. Chicayán,Contr,1979,32.25,3.97,28.28,572.32,23.64,249.97,34
ERCTP,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Animas, Tamps.",Tamaulipas,González,Golfo Norte,22.605,-98.691667,AP/RI,A. Las Animas,Libre,1976,55,2.45,52.55,654.37,51.7,563.443,31.2
SLZTP,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.",Tamaulipas,Xicoténcatl,Golfo Norte,22.943889,-98.791389,AP/RI,A. El Sargento,Libre,1983,125,1.1,123.9000015,255.65,122.9499969,230.78,50.4
IDFQT,"San Ildefonso, Qro.","El Tepozán, Qro.",Querétaro,Amealco de Bonfil,Golfo Norte,20.198611,-99.9625,RI,R. San Juan,Libre,1942,2261.93,1.87,2242.5,58.026,2239.0,47.812,62.7
CNSQT,"Constitución de 1917, Qro.","Hidalgo, Qro.",Querétaro,San Juan del Río,Golfo Norte,20.418611,-100.080278,RI,Dren Caracol,Contr,1969,1937,1.55005,1928.39,76.461,1927.06,66.08,35
